Hour,1,2,5,10,25,50,100,200,500,1000
1,1.98,2.27,2.8,3.28,4.02,4.65,5.34,6.08,7.15,8.02
2,2.51,2.86,3.54,4.19,5.21,6.11,7.09,8.18,9.76,11.1
3,2.83,3.23,4.02,4.8,6.06,7.19,8.45,9.86,11.9,13.7
6,3.4,3.89,4.87,5.86,7.49,8.95,10.6,12.4,15.1,17.4
12,3.98,4.6,5.8,6.97,8.82,10.5,12.3,14.3,17.2,19.7
24,4.59,5.37,6.8,8.13,10.2,11.9,13.8,15.9,18.9,21.3
48,5.26,6.17,7.82,9.32,11.6,13.5,15.6,17.8,21,23.5
72,5.68,6.62,8.35,9.93,12.4,14.4,16.6,19.1,22.5,25.4
96,6.02,6.99,8.76,10.4,13,15.1,17.5,20.1,23.8,26.8
168,6.95,8,9.91,11.7,14.5,16.8,19.4,22.2,26.2,29.5
240,7.84,8.96,11,12.9,15.8,18.2,20.9,23.7,27.9,31.2
