Hour,0.5,2,5,10,25,50,100
1,0.29,0.42,0.51,0.58,0.7,0.79,0.89
1.083333333,0.303333333,0.433333333,0.530833333,0.606666667,0.715,0.8125,0.91
1.166666667,0.315,0.443333333,0.548333333,0.618333333,0.746666667,0.84,0.933333333
1.333333333,0.333333333,0.48,0.573333333,0.653333333,0.786666667,0.88,0.986666667
1.5,0.36,0.495,0.615,0.69,0.825,0.93,1.035
1.666666667,0.366666667,0.533333333,0.633333333,0.716666667,0.85,0.966666667,1.066666667
2,0.4,0.58,0.7,0.78,0.92,1.04,1.14
2.333333333,0.443333333,0.606666667,0.746666667,0.84,0.98,1.096666667,1.213333333
2.666666667,0.48,0.64,0.773333333,0.88,1.04,1.146666667,1.28
3,0.51,0.69,0.81,0.93,1.08,1.2,1.35
6,0.82,1.13,1.34,1.5,1.73,1.91,2.09
12,1.17,1.65,1.98,2.22,2.58,2.85,3.13
24,1.56,2.25,2.73,3.08,3.6,4.01,4.42
48,1.91,2.78,3.39,3.84,4.5,5.02,5.54
72,2.35,3.38,4.07,4.57,5.3,5.85,6.4
168,3.37,4.83,5.76,6.4,7.31,7.97,8.61
